UboatName,TypeOfUboat,Commissioned,FateDate,Fate,FateLatitude,FateLongitude,Days_in_service,TotalShipsSunked,Years_in_service,AverageDayPerShip,WarOutCome
U-156,IXC,1941-09-04,1943-03-08,Sunk,12.633333,-54.65,550,19,1.51,28.95,Did not survive the War
U-157,IXC,1941-09-15,1942-06-13,Sunk,24.216667,-82.05,271,1,0.74,271,Did not survive the War
U-158,IXC,1941-09-25,1942-06-30,Sunk,32.833333,-67.466667,278,17,0.76,16.35,Did not survive the War
U-159,IXC,1941-10-04,1943-07-28,Sunk,47.44013,-4.165525,662,23,1.81,28.78,Did not survive the War
U-160,IXC,1941-10-16,1943-07-14,Sunk,31.84924,-28.713053,636,26,1.74,24.46,Did not survive the War
U-161,IXC,1941-07-08,1943-09-27,Sunk,-12.5,-35.5833,811,13,2.22,62.38,Did not survive the War
U-162,IXC,1941-09-09,1942-09-03,Sunk,12.35,-59.4833,359,14,0.98,25.64,Did not survive the War
U-163,IXC,1941-10-21,1943-03-13,Sunk,45.083333,-15.0,508,4,1.39,127,Did not survive the War
U-164,IXC,1941-11-28,1943-01-06,Sunk,-1.966667,-39.366667,404,3,1.11,134.67,Did not survive the War
U-165,IXC,1942-02-03,1942-09-27,Sunk,47.0833,-5.5,236,3,0.65,78.67,Did not survive the War
U-166,IXC,1942-03-23,1942-07-30,Sunk,28.6833,-88.7,129,4,0.35,32.25,Did not survive the War
U-167,IXC/40,1942-07-04,1943-04-06,Scuttled,-6.2,111.28,276,1,0.76,276,Did not survive the War
U-168,IXC/40,1942-09-10,1944-10-06,Sunk,-6.2,111.28,757,3,2.07,252.33,Did not survive the War
U-169,IXC/40,1942-11-16,1943-03-27,Sunk,60.9,-15.4167,131,,0.36,,Did not survive the War
U-170,IXC/40,1943-01-19,1945-11-30,Sunk,56.066667,-9.583333,1046,1,2.86,1046,Survived the war
U-171,IXC,1941-10-25,1942-10-09,Sunk,47.797,3.784,349,3,0.96,116.33,Did not survive the War
U-172,IXC,1941-11-05,1943-12-13,Sunk,26.483,29.967,768,26,2.1,29.54,Did not survive the War
U-173,IXC,1941-11-15,1942-11-16,Sunk,33.667,-7.583,366,1,1,366,Did not survive the War
U-174,IXC,1941-11-26,1943-04-27,Sunk,43.583,-56.3,517,5,1.42,103.4,Did not survive the War
U-175,IXC,1941-12-05,1943-04-17,Sunk,47.883,-22.067,498,10,1.36,49.8,Did not survive the War
U-176,IXC,1941-12-15,1943-05-15,Sunk,23.35,-80.3,516,11,1.41,46.91,Did not survive the War
U-177,IXD2,1942-03-14,1944-02-06,Sunk,-10.583,-23.25,694,14,1.9,49.57,Did not survive the War
U-178,IXD2,1942-02-14,1944-08-25,Scuttled,44.927338,-0.550175,923,13,2.53,71,Did not survive the War
U-179,IXD2,1942-03-07,1942-10-08,Sunk,-33.467,17.083,215,1,0.59,215,Did not survive the War
U-180,IXD1,1942-05-16,1944-08-23,Missing,44.0,-2.0,830,2,2.27,415,Did not survive the War
U-181,IXD2,1942-05-09,1946-02-12,Scuttled,3.09722,100.69722,1375,27,3.76,50.93,Survived the war
U-182,IXD2,1942-06-30,1943-05-16,Sunk,33.91667,-20.58333,320,5,0.88,64,Did not survive the War
U-183,IXC/40,1942-04-01,1945-04-23,Sunk,-4.833,112.867,1118,4,3.06,279.5,Did not survive the War
U-184,IXC/40,1942-05-29,1942-11-21,Missing,49.0,-45.0,176,1,0.48,176,Did not survive the War
U-185,IXC/40,1942-06-13,1943-08-24,Sunk,27.0,-37.1,437,9,1.2,48.56,Did not survive the War
U-186,IXC/40,1942-07-10,1943-05-12,Sunk,41.9,-31.817,306,3,0.84,102,Did not survive the War
U-187,IXC/40,1942-07-23,1943-02-04,Sunk,50.2,-36.583333,196,,0.54,,Did not survive the War
U-188,IXC/40,1942-08-05,1944-08-25,Scuttled,44.833,-0.567,751,9,2.06,83.44,Did not survive the War
U-189,IXC/40,1942-08-15,1943-04-23,Sunk,59.762444,-42.039256,251,,0.69,,Did not survive the War
U-190,IXC/40,1942-09-24,1945-05-14,Surrendered,43.917,-63.0,963,2,2.64,481.5,Survived the war
U-191,IXC/40,1942-10-20,1943-04-23,Sunk,59.02889,-42.210033,185,1,0.51,185,Did not survive the War
U-192,IXC/40,1942-11-16,1943-05-06,Sunk,53.1,-45.733333,171,,0.47,,Did not survive the War
U-193,IXC/40,1942-12-10,1944-04-24,Missing,45.633333,-9.716667,501,1,1.37,501,Did not survive the War
U-194,IXC/40,1943-01-08,1943-06-24,Sunk,59.0,-26.3,167,,0.46,,Did not survive the War
U-195,IXD1,1942-09-05,1945-05-02,Surrendered,-6.08411,106.828005,970,2,2.66,485,Survived the war
U-196,IXD2,1942-09-11,1944-12-01,Missing,-5.92,105.88,812,3,2.22,270.67,Did not survive the War
U-197,IXD2,1942-10-10,1943-08-20,Sunk,-28.666667,42.6,314,3,0.86,104.67,Did not survive the War
U-198,IXD2,1942-11-03,1944-08-12,Sunk,-3.583333,52.816667,648,11,1.77,58.91,Did not survive the War
U-199,IXD2,1942-11-28,1943-07-31,Sunk,-23.9,-42.9,245,2,0.67,122.5,Did not survive the War
U-200,IXD2,1942-12-22,1943-06-24,Sunk,58.25,-25.416667,184,,0.5,,Did not survive the War
U-201,VIIC,1941-01-25,1943-02-17,Sunk,50.833333,-40.833333,753,24,2.06,31.38,Did not survive the War
U-202,VIIC,1941-03-22,1943-06-02,Sunk,56.2,-39.866667,802,9,2.2,89.11,Did not survive the War
U-203,VIIC,1941-02-18,1943-04-25,Sunk,55.083333,-42.416667,796,21,2.18,37.9,Did not survive the War
U-204,VIIC,1941-03-08,1941-10-19,Sunk,35.766667,-6.033333,225,5,0.62,45,Did not survive the War
U-205,VIIC,1941-05-03,1943-02-17,Sunk,32.933333,22.016667,655,1,1.79,655,Did not survive the War
U-206,VIIC,1941-05-17,1941-11-29,Missing,47.083333,-2.666667,196,3,0.54,65.33,Did not survive the War
U-207,VIIC,1941-06-07,1941-09-11,Sunk,56.538126,-40.118039,96,2,0.26,48,Did not survive the War
U-208,VIIC,1941-07-05,1941-12-07,Sunk,35.534015,-11.115261,155,1,0.42,155,Did not survive the War
U-209,VIIC,1941-10-11,1943-05-07,Missing,52.0,-38.0,573,3,1.57,191,Did not survive the War
U-210,VIIC,1942-02-21,1942-08-06,Sunk,54.4,-34.616667,166,,0.45,,Did not survive the War
U-211,VIIC,1942-03-07,1943-11-19,Sunk,38.232457,-19.513926,622,1,1.7,622,Did not survive the War
U-212,VIIC,1942-04-25,1944-07-21,Sunk,50.45,-0.216667,818,1,2.24,818,Did not survive the War
U-213,VIID,1941-08-30,1942-07-31,Sunk,36.75,-22.833333,335,,0.92,,Did not survive the War
U-214,VIID,1941-11-01,1944-07-26,Sunk,49.966667,-3.5,998,4,2.73,249.5,Did not survive the War
U-215,VIID,1941-11-22,1942-07-03,Sunk,41.479972,-66.379972,223,1,0.61,223,Did not survive the War
U-216,VIID,1941-12-15,1942-10-20,Sunk,48.35,-19.416667,309,1,0.85,309,Did not survive the War
U-217,VIID,1942-01-31,1943-06-05,Sunk,30.3,-42.833333,490,3,1.34,163.33,Did not survive the War
U-218,VIID,1942-01-24,1945-12-05,Sunk,55.466667,-7.3,1411,2,3.86,705.5,Survived the war
U-219,XB,1942-12-12,1945-08-04,Surrendered,-6.516667,104.902222,966,,2.64,,Survived the war
U-220,XB,1943-03-27,1943-10-28,Sunk,44.056907,-32.493876,215,2,0.59,107.5,Did not survive the War
U-221,VIIC,1942-05-09,1943-09-27,Sunk,47.0,-18.0,506,21,1.39,24.1,Did not survive the War
U-222,VIIC,1942-05-23,1942-09-02,Sunk,54.416667,19.5,102,,0.28,,Did not survive the War
U-223,VIIC,1942-06-06,1944-03-30,Sunk,38.8,14.166667,663,4,1.82,165.75,Did not survive the War
U-224,VIIC,1942-06-20,1943-01-13,Sunk,36.466667,0.816667,207,2,0.57,103.5,Did not survive the War
U-225,VIIC,1942-07-11,1943-02-22,Sunk,48.616667,-30.583333,226,1,0.62,226,Did not survive the War
U-226,VIIC,1942-08-01,1943-11-06,Sunk,44.816667,-41.216667,462,1,1.26,462,Did not survive the War
U-227,VIIC,1942-08-22,1943-04-30,Sunk,64.666667,-6.666667,251,,0.69,,Did not survive the War
U-228,VIIC,1942-09-12,1944-10-05,Scrapped,60.389444,5.33,754,,2.06,,Did not survive the War
U-229,VIIC,1942-10-03,1943-09-22,Sunk,54.6,-36.416667,354,2,0.97,177,Did not survive the War
U-230,VIIC,1942-10-24,1944-08-12,Scuttled,43.125833,5.930556,658,4,1.8,164.5,Did not survive the War
U-231,VIIC,1942-11-14,1944-01-13,Sunk,41.189324,-21.166605,425,,1.16,,Did not survive the War
U-232,VIIC,1942-11-28,1943-07-09,Sunk,58.790212,-28.917088,223,,0.61,,Did not survive the War
U-233,XB,1943-09-22,1944-07-05,Sunk,49.189309,-20.319777,287,,0.79,,Did not survive the War
U-234,XB,1944-03-02,1945-05-19,Surrendered,43.047085,-70.711725,443,,1.21,,Survived the war
U-235,VIIC,1942-12-19,1945-04-14,Sunk,55.098413,6.200785,847,,2.32,,Did not survive the War
U-236,VIIC,1943-01-09,1945-05-05,Scuttled,54.616667,10.05,847,,2.32,,Survived the war
U-237,VIIC,1943-01-30,1945-04-04,Sunk,54.337337,10.16102,795,,2.18,,Did not survive the War
U-238,VIIC,1943-02-20,1944-02-09,Sunk,50.898537,-9.090618,354,4,0.97,88.5,Did not survive the War
U-239,VIIC,1943-03-13,1944-07-24,Sunk,54.337337,10.16102,499,,1.37,,Did not survive the War
U-240,VIIC,1943-04-03,1945-05-15,Missing,61.363842,1.794819,773,,2.12,,Survived the war
U-241,VIIC,1943-07-24,1944-05-18,Sunk,63.788676,-1.858402,299,,0.82,,Did not survive the War
U-242,VIIC,1943-08-14,1945-04-05,Sunk,52.035833,-5.768889,600,3,1.64,200,Did not survive the War
U-243,VIIC,1943-10-02,1944-07-08,Sunk,47.1,-6.666667,280,,0.77,,Did not survive the War
