UboatName,TypeOfUboat,Commissioned,Fate_Date,Days_in_service
U-166,IXC,1941-01-01,1942-07-30,575
U-614,VIIC,1942-01-01,1943-07-29,574
U-647,VIIC,1942-01-01,1943-07-28,573
U-359,VIIC,1942-01-01,1943-07-26,571
U-239,VIIC,1943-01-01,1944-07-24,570
U-1164,VIIC/41,1943-01-01,1944-07-24,570
U-90,VIIC,1941-01-01,1942-07-24,569
U-622,VIIC,1942-01-01,1943-07-24,569
U-527,IXC/40,1942-01-01,1943-07-23,568
U-613,VIIC,1942-01-01,1943-07-23,568
U-662,VIIC,1942-01-01,1943-07-21,566
U-672,VIIC,1943-01-01,1944-07-18,564
U-742,VIIC,1943-01-01,1944-07-18,564
U-347,VIIC,1943-01-01,1944-07-17,563
U-319,VIIC/41,1943-01-01,1944-07-15,561
